Keyword,Currency,Avg monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
powerhouse fitness,INR,500,0%,0%,Low,1,,
arm day workout,INR,500,0%,0%,Low,0,,
nearest gym,INR,50000,0%,0%,Low,7,7.42,51.47
gyms around me,INR,5000,0%,0%,Low,9,8.4,57.21
near by gym,INR,50000,0%,0%,Low,9,10.16,57.76
ace fitness,INR,5000,0%,0%,Low,4,4.75,46.82
10 minute ab workout,INR,500,0%,0%,Low,1,,
shoulder workouts with dumbbells,INR,5000,0%,0%,Low,2,30.43,80.73
kings gym,INR,500,0%,0%,Low,10,,
best fitness,INR,500,0%,0%,Low,5,,
back day workout,INR,5000,0%,0%,Low,0,,
ladies gym,INR,5000,0%,0%,Low,2,9.14,46.14
inner chest workout,INR,5000,0%,0%,Low,0,,
extreme fitness,INR,500,0%,0%,Low,0,,
go gym,INR,500,0%,0%,Low,0,,
full body dumbbell workout,INR,5000,0%,0%,Low,12,1.81,56.74
the gym near me,INR,500,0%,0%,Low,1,8.5,42.81
women gym near me,INR,50000,0%,0%,Low,6,5.53,55.01
gym master,INR,500,0%,0%,Low,8,12.83,27.82
outdoor gym,INR,5000,0%,0%,Low,9,1.4,22.39
homegym,INR,5000,0%,0%,High,100,1.24,24.96
workouts to lose weight,INR,5000,0%,0%,Low,11,1.78,35.37
best arm workouts,INR,500,0%,0%,Low,1,21.38,55.92
fitness classes,INR,500,0%,0%,Low,7,13.03,107.77
top gym,INR,500,0%,0%,Low,6,8.19,113.81
tricep workouts with dumbbells,INR,5000,0%,0%,Low,1,21.16,68.58
alpha gym,INR,500,0%,0%,Low,2,,
back and shoulder workout,INR,5000,0%,0%,Low,0,34.89,70.79
boot camp near me,INR,500,0%,0%,Low,5,14.4,62.88
best forearm workouts,INR,500,0%,0%,Low,5,0.72,1.22
pro fitness,INR,500,0%,0%,Low,11,4.36,75.65
darebee workout,INR,5000,0%,900%,Low,2,1.79,23.73
six pack workout,INR,5000,0%,0%,Low,4,0.96,21.76
efit,INR,500,0%,0%,Low,4,11.51,23.02
pro gym,INR,500,0%,0%,Low,10,7.85,78.51
jane fonda workout,INR,500,0%,0%,Low,0,,
